id,category,distribution_availablity,distribution_stock,emergencyfood_stock,drinkingwater_stock,bread_stock,cannedfood_stock,driedfoods_stock,dairyalternatives_stock,snacksandsweets_stock,
1,supermarket,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,supermarket,yes,yes,yes,yes,no,yes,no,yes,yes,yes
3,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
4,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
6,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
7,supermarket,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
8,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
9,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
10,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
12,supermarket,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
13,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
14,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
15,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
16,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
17,supermarket,yes,yes,yes,yes,no,yes,no,yes,yes,yes
18,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
19,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
20,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
21,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
22,supermarket,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
23,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
24,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
25,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
26,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
27,supermarket,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
28,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
29,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
30,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
31,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
32,supermarket,yes,yes,yes,yes,no,yes,no,yes,yes,yes
33,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
34,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
35,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
36,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
37,supermarket,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
38,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
39,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
40,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
41,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
42,supermarket,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
43,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
44,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
45,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
46,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
47,supermarket,yes,yes,yes,yes,no,yes,no,yes,yes,yes
48,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
49,supermarket,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
50,supermarket,no,yes,yes,yes,no,yes,no,yes,yes,yes
51,supermarket,no,yes,no,yes,yes,yes,yes,yes,yes,yes
52,supermarket,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
